AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=1931969768 end_ticks=2055328787 records=1094 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=28 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1958392612 guest_counter_ticks=26542467 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=29 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1958632698 guest_counter_ticks=26782553 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=30 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1958872490 guest_counter_ticks=27022345 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=31 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1959112163 guest_counter_ticks=27262018 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=32 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1959352809 guest_counter_ticks=27502664 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=33 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1959592146 guest_counter_ticks=27742001 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=34 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1959832722 guest_counter_ticks=27982577 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=35 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1960122137 guest_counter_ticks=28271992 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=36 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1960191843 guest_counter_ticks=28341698 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=37 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1960312537 guest_counter_ticks=28462392 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=38 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1960552133 guest_counter_ticks=28701988 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=39 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1960792688 guest_counter_ticks=28942543 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=40 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1960832742 guest_counter_ticks=28982597 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=41 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1961072751 guest_counter_ticks=29222606 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=42 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1961272643 guest_counter_ticks=29422498 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=43 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1961312578 guest_counter_ticks=29462433 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=44 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1961552419 guest_counter_ticks=29702274 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=45 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1961752325 guest_counter_ticks=29902180 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=46 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1961792687 guest_counter_ticks=29942542 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=47 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1961992418 guest_counter_ticks=30142273 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=48 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1962032654 guest_counter_ticks=30182509 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=49 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1962232133 guest_counter_ticks=30381988 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=50 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1962272411 guest_counter_ticks=30422266 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=51 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1962472499 guest_counter_ticks=30622354 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=52 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1962512686 guest_counter_ticks=30662541 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=53 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1962712550 guest_counter_ticks=30862405 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=54 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1962776187 guest_counter_ticks=30926042 forwarding_ticks=7 injected=1
