AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=2087341817 end_ticks=2210631984 records=1097 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=28 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2114015324 guest_counter_ticks=26793256 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=29 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2114255158 guest_counter_ticks=27033090 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=30 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2114496105 guest_counter_ticks=27274037 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=31 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2114735561 guest_counter_ticks=27513493 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=32 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2114975451 guest_counter_ticks=27753383 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=33 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2115215369 guest_counter_ticks=27993301 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=34 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2115454776 guest_counter_ticks=28232708 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=35 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2115638372 guest_counter_ticks=28416304 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=36 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2115694911 guest_counter_ticks=28472843 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=37 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2115934962 guest_counter_ticks=28712894 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=38 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2116175076 guest_counter_ticks=28953008 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=39 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2116284976 guest_counter_ticks=29062908 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=40 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2116414805 guest_counter_ticks=29192737 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=41 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2116524656 guest_counter_ticks=29302588 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=42 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2116654905 guest_counter_ticks=29432837 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=43 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2116764973 guest_counter_ticks=29542905 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=44 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2117005038 guest_counter_ticks=29782970 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=45 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2117135084 guest_counter_ticks=29913016 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=46 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2117280719 guest_counter_ticks=30058651 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=47 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2117374813 guest_counter_ticks=30152745 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=48 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=2117484916 guest_counter_ticks=30262848 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=49 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2117614787 guest_counter_ticks=30392719 forwarding_ticks=7 injected=1
